customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0031,Male,0,Yes,No,39,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Mailed check,103.63,3989.37,No
CUST-0032,Male,1,No,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),60.82,3270.39,No
CUST-0033,Female,1,No,Yes,22,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),46.28,867.41,No
CUST-0034,Female,0,Yes,Yes,10,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),77.58,874.99,No
CUST-0035,Female,0,Yes,No,63,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Electronic check,102.22,6422.39,No
CUST-0036,Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,97.87,560.46,No
CUST-0037,Female,0,Yes,No,55,Yes,Yes,No,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),109.0,5912.35,No
CUST-0038,Male,0,No,Yes,59,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,112.81,6569.09,No
CUST-0039,Male,0,Yes,No,9,Yes,No phone service,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Mailed check,43.81,398.59,No
CUST-0040,Male,0,No,No,38,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),62.39,2477.57,No
CUST-0041,Male,1,No,No,27,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),21.46,544.62,No
CUST-0042,Male,0,Yes,No,48,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,No,Credit card (automatic),107.93,4955.39,Yes
CUST-0043,Female,0,No,No,35,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,35.46,1222.18,No
CUST-0044,Female,0,Yes,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,106.15,1258.18,No
CUST-0045,Female,0,No,Yes,35,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),52.94,1830.41,No
CUST-0046,Female,0,No,No,25,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),56.81,1357.5,No
CUST-0047,Female,0,No,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,23.91,93.47,No
CUST-0048,Male,0,No,No,63,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),52.69,3326.08,No
CUST-0049,Female,0,Yes,No,37,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),108.84,4024.6,No
CUST-0050,Female,0,No,Yes,21,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,22.55,514.81,No
CUST-0051,Male,0,No,No,1,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),60.63,17.65,Yes
CUST-0052,Female,1,No,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,23.14,645.54,No
CUST-0053,Male,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),57.09,708.91,Yes
CUST-0054,Female,0,No,No,45,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),37.26,1732.64,Yes
CUST-0055,Male,1,Yes,Yes,61,No,Yes,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,45.22,2841.11,Yes
CUST-0056,Female,0,Yes,No,68,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,107.76,7450.29,No
CUST-0057,Female,0,No,No,63,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,63.6,4059.39,No
CUST-0058,Male,0,Yes,Yes,9,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),47.38,519.26,No
CUST-0059,Male,0,No,Yes,39,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,78.93,2920.34,No
CUST-0060,Male,0,No,No,23,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,34.21,807.25,No
CUST-0061,Male,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),45.94,1957.15,No
CUST-0062,Male,0,Yes,No,59,No,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),74.62,4570.35,No
CUST-0063,Male,0,No,Yes,61,Yes,Yes,No,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),43.75,2761.51,No
CUST-0064,Male,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),87.91,1343.52,No
CUST-0065,Male,0,No,No,64,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),69.15,4462.88,No
CUST-0066,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),97.2,5459.97,No
CUST-0067,Female,0,No,Yes,54,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),114.82,6245.71,No
CUST-0068,Male,0,Yes,Yes,52,Yes,Yes,No,No,Yes,No,No,No,No,One year,Yes,Mailed check,31.58,1540.28,No
CUST-0069,Female,1,No,No,55,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,53.47,2976.85,No
CUST-0070,Female,0,No,No,8,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,51.95,392.78,No
CUST-0071,Female,0,No,No,21,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,35.12,765.76,No
CUST-0072,Female,0,Yes,No,12,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),101.03,1139.92,No
CUST-0073,Male,0,No,No,47,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,95.99,4453.02,Yes
CUST-0074,Female,0,No,No,17,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,68.44,1280.86,No
CUST-0075,Male,1,Yes,Yes,39,Yes,No phone service,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),73.78,2772.27,No
CUST-0076,Female,1,Yes,No,16,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,25.95,317.42,No
CUST-0077,Female,0,Yes,No,14,Yes,No,DSL,No,,,No,Yes,Yes,Two year,No,Mailed check,75.55,,No
CUST-0078,Female,1,No,No,14,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,99.13,1310.63,No
CUST-0079,Male,0,No,No,62,No,Yes,No,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,77.38,4709.06,No
CUST-0080,Female,0,No,No,38,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),46.53,1778.65,Yes
CUST-0081,Male,0,Yes,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),86.75,890.49,Yes
CUST-0082,Female,1,Yes,No,31,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),56.15,1639.85,No
CUST-0083,Male,0,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,74.49,801.33,No
CUST-0084,Female,0,No,No,39,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),68.76,2727.59,No
CUST-0085,Male,0,No,No,19,No,No,No,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),58.12,1029.62,No
CUST-0086,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),91.89,6657.9,Yes
CUST-0087,Female,0,No,Yes,62,No,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),108.39,6776.91,Yes
CUST-0088,Male,0,Yes,No,43,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Credit card (automatic),20.52,981.8,No
CUST-0089,Female,0,Yes,Yes,37,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),113.36,4181.6,No
CUST-0090,Female,0,No,No,59,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,71.15,4295.5,No
CUST-0091,Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),90.07,6101.06,No
CUST-0092,Female,0,No,No,47,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,105.56,4855.69,No
CUST-0093,Female,0,Yes,No,17,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,66.71,1150.46,No
CUST-0094,Female,0,Yes,No,15,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,103.5,1585.46,No
CUST-0095,Female,1,No,Yes,54,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),37.76,1947.86,No
CUST-0096,Female,0,No,No,38,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,35.92,1390.9,No
CUST-0097,Female,0,Yes,Yes,67,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),85.75,5682.87,No
CUST-0098,Female,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,107.01,6178.88,No
CUST-0099,Female,0,Yes,Yes,61,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,109.24,6766.12,Yes
CUST-0100,Male,0,No,Yes,12,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,84.37,1103.33,No
CUST-0101,Male,0,Yes,No,5,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,72.55,263.04,No
CUST-0102,Female,0,Yes,Yes,59,Yes,No phone service,Fiber optic,No,,,No,Yes,Yes,Two year,Yes,Credit card (automatic),53.14,,No
CUST-0103,Female,0,Yes,No,13,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,118.0,1492.88,No
CUST-0104,Female,0,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),51.97,2751.74,No
CUST-0105,Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.42,217.47,Yes
CUST-0106,Female,0,No,No,38,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),73.2,2885.66,No
CUST-0107,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Credit card (automatic),80.85,5775.09,No
CUST-0108,Female,0,No,Yes,24,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),59.35,1465.01,No
CUST-0109,Female,0,Yes,No,31,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),116.48,3484.23,No
CUST-0110,Male,0,No,Yes,58,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),77.17,4592.59,No
CUST-0111,Female,0,No,No,62,Yes,No,No,No,Yes,No,No,No,Yes,One year,No,Electronic check,113.78,6772.34,Yes
CUST-0112,Male,0,No,Yes,37,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,20.76,851.53,Yes
CUST-0113,Female,0,No,Yes,52,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),77.27,4111.47,No
CUST-0114,Female,0,Yes,No,66,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,91.72,6010.28,No
CUST-0115,Male,1,Yes,No,27,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,94.51,2679.06,Yes
CUST-0116,Female,1,No,Yes,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,110.5,214.69,No
CUST-0117,Male,0,No,No,21,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),20.44,435.48,No
CUST-0118,Female,0,No,Yes,37,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,20.03,775.06,No
CUST-0119,Female,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),67.23,5091.99,No
CUST-0120,Male,0,No,No,71,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,22.93,1762.47,Yes
CUST-0121,Female,0,No,No,61,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),117.45,7234.56,No
CUST-0122,Male,0,Yes,No,56,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),42.21,2272.48,No
CUST-0123,Female,0,No,No,5,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,67.27,350.71,No
CUST-0124,Male,0,No,No,31,Yes,Yes,No,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,26.11,728.1,Yes
CUST-0125,Male,0,Yes,No,9,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,72.2,732.01,Yes
CUST-0126,Female,0,No,No,2,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),58.0,130.05,No
CUST-0127,Female,0,Yes,Yes,58,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,24.47,1306.81,No
CUST-0128,Male,0,No,No,48,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),53.51,2576.59,No
CUST-0129,Female,0,Yes,No,58,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,59.14,3345.18,No
CUST-0130,Female,0,No,No,30,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),118.99,3584.82,No
CUST-0131,Female,0,No,No,68,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,40.79,2687.81,Yes
CUST-0132,Male,1,Yes,No,61,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.48,4546.03,No
CUST-0133,Male,0,No,Yes,51,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),118.73,6130.28,No
CUST-0134,Male,0,No,Yes,40,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),99.2,3962.69,No
CUST-0135,Male,0,No,No,30,Yes,Yes,No,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,119.34,3541.11,No
CUST-0136,Male,0,Yes,No,21,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),116.83,2473.76,No
CUST-0137,Male,0,Yes,No,3,Yes,No,DSL,Yes,,,No,No,Yes,Month-to-month,No,Electronic check,68.95,,Yes
CUST-0138,Male,0,Yes,No,12,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,89.64,964.96,No
CUST-0139,Male,0,No,No,44,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,31.04,1391.83,No
CUST-0140,Male,0,No,No,41,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,64.11,2760.26,No
CUST-0141,Female,0,No,Yes,48,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Mailed check,100.9,4900.57,No
CUST-0142,Male,0,No,Yes,19,Yes,Yes,No,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),70.53,1345.85,No
CUST-0143,Female,0,No,No,53,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),90.27,4848.28,No
CUST-0144,Female,0,No,No,35,No,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,94.58,3355.55,No
CUST-0145,Female,0,Yes,Yes,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.35,75.36,Yes
CUST-0146,Male,1,No,No,14,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),107.57,1303.59,No
CUST-0147,Male,0,Yes,No,16,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,65.98,900.33,Yes
CUST-0148,Male,0,No,No,23,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),41.02,1043.94,No
CUST-0149,Male,0,No,No,57,Yes,No,No,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,106.54,5922.25,No
CUST-0150,Female,0,No,No,71,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,61.78,4426.53,No
CUST-0151,Male,0,Yes,Yes,22,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),95.03,2055.46,Yes
CUST-0152,Male,0,Yes,No,45,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3266.38,No
CUST-0153,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),58.19,4166.45,No
CUST-0154,Male,0,Yes,Yes,7,Yes,No,No,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),100.99,727.03,No
CUST-0155,Male,0,Yes,No,58,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Electronic check,78.45,4761.13,Yes
CUST-0156,Female,0,No,No,58,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),59.06,3363.0,No
CUST-0157,Male,0,No,No,12,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),30.96,515.53,No
CUST-0158,Female,0,Yes,No,38,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),109.54,4197.76,No
CUST-0159,Male,0,Yes,Yes,27,Yes,No,No,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),23.55,569.75,No
CUST-0160,Female,0,Yes,No,60,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,106.32,6459.12,No
CUST-0161,Male,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),56.0,896.57,No
CUST-0162,Male,1,No,No,1,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,83.93,87.51,No
CUST-0163,Female,0,No,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),112.22,1822.15,No
CUST-0164,Female,0,No,No,29,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,35.17,960.23,No
CUST-0165,Female,0,No,No,12,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),76.7,837.82,Yes
CUST-0166,Male,0,No,Yes,12,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),96.44,1233.22,No
CUST-0167,Female,0,Yes,Yes,42,No,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,95.76,3999.53,No
CUST-0168,Male,0,No,No,20,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,72.56,1443.19,No
CUST-0169,Male,0,Yes,No,54,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,82.47,4481.36,No
CUST-0170,Female,0,No,No,39,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),95.75,3760.78,No
CUST-0171,Female,0,Yes,No,14,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),104.1,1314.47,No
CUST-0172,Male,1,No,No,72,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,96.18,7053.59,No
CUST-0173,Male,0,No,No,51,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),55.4,2837.52,No
CUST-0174,Female,0,No,Yes,52,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,119.67,6202.57,No
CUST-0175,Female,0,No,No,51,No,Yes,Fiber optic,No,,,Yes,Yes,No,Month-to-month,No,Mailed check,63.45,,No
CUST-0176,Female,1,Yes,Yes,29,No,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,22.45,674.7,No
CUST-0177,Male,0,Yes,No,32,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,56.26,1877.03,No
CUST-0178,Male,0,Yes,Yes,56,Yes,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),32.78,1889.48,No
CUST-0179,Male,1,Yes,Yes,51,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),32.14,1710.92,No
